	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
BB01_017 0.7018887 0.2981113 0 0 0 0 0 0 0 0 0 0 0
BB01_128 0.6952328 0 0 0 0 0 0 0.1348808 0 0 0 0.1133599 0
BR100 0.2374487 0 0 0.6448731 0 0 0.1176782 0 0 0 0 0 0
BR414 0.5646617 0.06236903 0 0.08771263 0 0 0.1483738 0.1368828 0 0 0 0 0
BB01_034 0.5756513 0 0.1555588 0.1581267 0 0 0 0 0 0.1106632 0 0 0
BR048 0 0 0 0.5606571 0 0.2341964 0 0 0 0.1398755 0 0 0
BR080 0.1617813 0 0 0.2669577 0 0 0.1045925 0.1114214 0 0.3020803 0 0 0
BR176 0.06008806 0 0.3591606 0 0.2854796 0 0.1164299 0 0 0.1660026 0 0 0
BR356 0.4346522 0 0.3108215 0 0 0 0 0 0 0.0951356 0 0 0.1593907
BR367 0 0 0 0.7817422 0 0 0 0 0.07979263 0 0 0 0.06061262
BR023 0 0 0.1899186 0.4212521 0.1048733 0 0 0 0.2217468 0 0 0 0
BB01_005 0.7009977 0.06099807 0.1375956 0.08812842 0 0 0 0 0 0 0 0 0
BR408 0.3495834 0.1080526 0.08957146 0 0 0.3088631 0.09156789 0 0 0 0 0 0
BB01_031 0.4348067 0.2152685 0.1438404 0 0 0 0 0 0 0.1253528 0 0 0
BR383 0.5652417 0.1547499 0.1645398 0 0 0 0 0 0 0 0 0 0.1154687
BB01_018 0.3300946 0 0.2978766 0.1101493 0 0 0 0 0 0 0 0 0.2220446
BB01_116 0.3411425 0.139408 0 0 0 0.2790837 0.06412856 0 0 0 0.1264172 0 0
BR159 0.2186637 0 0 0.1893859 0 0.4358155 0 0 0 0.1561349 0 0 0
BR235 0.7387025 0 0 0 0 0 0 0 0 0.2612975 0 0 0
BB01_126 0.4473784 0 0 0.2947112 0 0 0.1131373 0 0 0 0 0 0.06830738
BR313 0.1417267 0 0.1325218 0.4918906 0 0 0.07484221 0 0 0 0 0 0.1005069
BR442 0.3117106 0.06718853 0 0.3668833 0 0.1852886 0 0 0 0 0.06892904 0 0
BB01_051 0.963685 0 0 0 0 0 0 0 0 0 0 0 0
BB01_059 0.2066295 0 0 0.5304509 0 0 0.1286398 0 0 0 0.09446276 0 0
BB01_109 0.5257969 0 0 0.3872402 0 0 0 0 0 0 0 0 0
BR112 0.5926494 0 0 0.3975036 0 0 0 0 0 0 0 0 0
BR248 0.8937627 0 0 0.08524034 0 0 0 0 0 0 0 0 0
BB01_039 0.3543838 0 0.1039931 0 0.1504004 0.1983377 0.09211232 0 0 0 0 0 0.1007727
BB01_078 0.5758763 0 0.1737953 0.09782125 0 0 0.1525072 0 0 0 0 0 0
BR018 0.5716016 0 0 0.3120559 0 0 0 0 0 0 0 0.06806313 0
BB01_055 0.5127108 0 0 0 0 0 0 0 0 0.4872892 0 0 0
BB01_007 0.9015784 0 0 0 0 0 0 0 0 0 0 0 0
BR105 0.5466789 0 0 0.3470871 0 0 0 0.0833155 0 0 0 0 0
BR124 0 0 0 0.3143225 0.3755519 0 0 0 0 0 0 0 0.2207744
BR233 0.2849665 0 0.1099538 0 0 0 0.1940536 0 0 0.3015615 0 0.1061862 0
BR371 0.3455087 0 0 0 0.06538984 0 0.1900919 0 0 0.3990096 0 0 0
BB01_086 0.4981953 0 0 0 0.1348862 0 0.1049289 0.08290595 0 0 0.1367163 0 0
BB01_120 0.2566843 0 0 0 0 0 0.2188936 0 0.3340626 0.0651575 0 0 0.1252021
BR042 0.8285675 0 0 0.1510266 0 0 0 0 0 0 0 0 0
BB01_108 0.3741601 0 0 0 0 0 0 0 0.1298331 0.4960068 0 0 0
BR041 0 0.07548959 0 0.2661117 0 0 0.08192742 0.1580675 0.4184038 0 0 0 0
BR078 0 0 0.1569848 0 0 0 0 0 0 0.2497335 0.288245 0 0.2705341
BR084 0 0 0 0.7547552 0 0 0.2089896 0 0 0 0 0 0
BR413 0.5563745 0 0.2247763 0.1702125 0 0 0 0 0 0 0 0 0
BR038 0.1045548 0 0 0.5624619 0 0 0 0 0 0 0.3329833 0 0
BB01_046 0.8354066 0 0 0 0 0 0.1645934 0 0 0 0 0 0
BB01_081 0.9823944 0 0 0 0 0 0 0 0 0 0 0 0
BR085 0.3618848 0 0 0.1728789 0 0 0 0.07288582 0 0.3923504 0 0 0
BR182 0.4175548 0 0.384193 0 0 0 0 0 0 0 0.1115282 0 0
BR431 0.4231262 0 0 0 0 0 0 0 0.4252551 0.1516188 0 0 0
BR212 1 0 0 0 0 0 0 0 0 0 0 0 0
BR391 0.4258503 0 0 0 0 0 0 0 0 0.5741497 0 0 0
BB01_008 0.4102603 0 0 0 0 0 0 0 0.5897397 0 0 0 0
BB01_019 0.8737594 0 0.1262406 0 0 0 0 0 0 0 0 0 0
BB01_028 0.4221406 0.1242669 0 0.4058824 0 0 0 0 0 0 0 0 0
BB01_053 0.635753 0.1449646 0 0 0 0 0 0 0 0.1453203 0 0 0
BB01_002 0.6438916 0 0 0.3039962 0 0 0 0 0 0 0 0 0
BR395 0 0 0 0.9777692 0 0 0 0 0 0 0 0 0
BR043 0.1698241 0 0 0.6578334 0 0 0.1723425 0 0 0 0 0 0
BR090 1 0 0 0 0 0 0 0 0 0 0 0 0
BR386 0.3104498 0 0 0 0 0 0 0 0 0.4247156 0 0 0.2152846
BB01_010 0.9860875 0 0 0 0 0 0 0 0 0 0 0 0
BB01_029 0 0 0 0.1623468 0 0 0 0 0 0 0 0 0.8259129
BR063 0.5716842 0 0 0 0 0 0 0 0 0.4283158 0 0 0
BR145 0.4805583 0 0 0.3086572 0 0 0 0 0 0 0 0.1681746 0
BR251 0.7379705 0 0 0.2051434 0 0 0 0 0 0 0 0 0
BR355 0.782755 0 0 0 0 0 0 0 0 0 0.1777512 0 0
BR307 0.8607673 0 0 0.09912165 0 0 0 0 0 0 0 0 0
