Input.Sample	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Pearson.Correlation	RMSE	Type	Input.Sample	Alt_ID	Cohort						
BB01_027	0.013384414	0	0	0.051969704	0	0.160416919	0	0.068539837	0.001775006	0	0	0.031401162	0.001534318	0	0.073465863	0.38386053	0.116416087	0	0.097236158	0	0	0	0	0.337563456	0.944986233	Kan	BB01_027	BB01_027	Kan						
BB01_028	0.001099041	0	0.051012379	0.024387929	0	0.155164564	0	0.076976747	0	0	0	0.033993803	0.057932378	0.077745717	0.116906612	0.345841443	0.021424327	0	0.022576147	0.014938912	0	0	0	0.371053227	0.93083388	Kan	BB01_028	BB01_028	Kan						
BB01_029	0.019885212	0	0.039701178	0.069294824	0	0.205496359	0.00487115	0.06417697	0.004898656	0.00198632	0	0.042833205	0.042810836	0.055492181	0.102284414	0.304979088	0.01290943	0	0.027717856	0	0	7.00E-04	0.648	0.010615874	1.083137597	Kan	BB01_029	BB01_029	Kan						
BB01_030	0	0	6.00E-04	0.065304995	0	0.075630016	0	0.067363781	0	0	0	0.044146836	0.081733483	0	0.061942102	0.505819718	0	0	0.08947246	0.002183522	0	0.005800971	0.001	0.280716281	0.976754929	Kan	BB01_030	BB01_030	Kan						
BB01_031	0.006940871	0.007812882	0.093710189	0.031429428	0	0.216002517	0.010935591	0.065782497	0.003245383	0	0	0.014619429	0.04075024	0.034870883	0.051261353	0.347177073	0	0	0.073974608	0	0	0.001487056	0	0.330141004	0.946612385	Kan	BB01_031	BB01_031	Kan						
BB01_034	3.00E-04	0	0.001	0.041440084	0	0.024433846	0	0.02122343	0	0	0	0.012356563	0	0.208531951	0.024807606	0.552358714	0	0	0.004161152	0.050003472	0	0.059396722	0	0.46450371	0.895316082	Kan	BB01_034	BB01_034	Kan						
BB01_035	0.029804736	0.015221107	0.01001382	0.142376989	0	0.188184608	0	0.103681194	0.016406682	0	0	0.053785439	0.008375336	0.053585912	0.136387281	0.18859714	0.034532932	0	0	0.006803312	0.012243513	0	0	0.337238761	0.948525545	Kan	BB01_035	BB01_035	Kan						
BB01_036	0.003108253	0.004660544	0	0	0	0.148492385	0	0.070908094	0.042169633	0	0.051054831	0.005037483	0.015478365	0.23469242	0.02065921	0.360687497	0	0	0.043051286	0	0	0	0.315	0.060174042	1.089715122	Kan	BB01_036	BB01_036	Kan						
BB01_037	0.02624713	0	0.020938687	0.133308337	0	0.087204716	0	0.087104718	0	0	0	0.032834752	0	0.14607762	0.144929174	0.293991644	0	0	0	0.025153972	0.00220925	0	0	0.36824831	0.935281298	Kan	BB01_037	BB01_037	Kan						
BB01_039	0.008460652	0	0	0.056836536	0	0.17643893	0	0.055506487	0	0	0	0.0301021	0.003259819	0.062197989	0.082538734	0.38004611	0.020025852	0	0.118018243	0	0	0.006568547	0.001	0.280849181	0.972180805	Kan	BB01_039	BB01_039	Kan						
BB01_040	0.034966075	0.015896748	0	0.176942152	0	0.141117627	0.032814425	0.076410956	0	0	0	0.058480903	0	0.110413778	0.141742045	0.203677719	0.001389819	0	0	0.00400649	0	0.002141265	0	0.407378368	0.914647659	Kan	BB01_040	BB01_040	Kan						
BB01_041	0.001091757	0.010225589	0.001003378	0.060595336	0	0.19299212	0	0.079874902	0.005038848	0.045804225	0	0.067598645	0	0.053927411	0.10360937	0.360833068	0.007612706	0	0.009792644	0	0	0	0.001	0.301344581	0.966514802	Kan	BB01_041	BB01_041	Kan						
BB01_044	0.025071942	0.022358221	0	0	0	0.375715491	0.009759885	0.025453381	0	0.042803191	0	0	0.03845153	0	0.129300786	0.284962539	0	0	0.025874341	0	0.020248694	0	0	0.383427382	0.925413548	Kan	BB01_044	BB01_044	Kan						
BB01_045	0	0	0.002315038	0.062117766	0	0.177325389	0	0.089415149	0	0	0	0.033865702	0.00205715	0.140791748	0.12225698	0.281876999	0	0	0.072966397	0	0	0.015011682	0	0.333851537	0.95013564	Kan	BB01_045	BB01_045	Kan						
BB01_046	0	0	0.012288027	0.05594452	0	0.129240329	0	0.081444247	0.021698673	0	0	0.042757488	0.016194402	0	0.171984984	0.429034715	0.016618531	0	0	0.014256331	0	0.008537752	0	0.458350519	0.88867908	Kan	BB01_046	BB01_046	Kan						
BB01_047	0.036713327	0	0.012963539	0.112698533	0	0.223592	0.00422026	0.073159538	0.00783251	0.004759453	0	0.028255041	0.006163655	0.005251607	0.074433688	0.225698894	0.004953649	0	0.179304304	0	0	0	0	0.399315225	0.916320297	Kan	BB01_047	BB01_047	Kan						
BB01_049	0.027636015	0.027633212	0	0.065020757	0	0.436444807	0	0.012275009	0	0	0	0.01710938	0.030461157	0	0.099647396	0.20974374	0.022749319	0	0.05127921	0	0	0	0.064	0.152774309	1.03343427	Kan	BB01_049	BB01_049	Kan						
BB01_051	0	0	0	0.060465531	0	0.121797282	0	0.096646976	0	0.029123117	0	0.026601515	0	0	0.074192425	0.479603468	0.056711717	0	0.054857968	0	0	0	0.094	0.135540719	1.041282921	Kan	BB01_051	BB01_051	Kan						
BB01_053	0	0.002135461	3.00E-04	0.036675193	0	0.246712418	0	0.067891413	0	0	0	0.053749992	0.074123062	0	0.02782665	0.415766804	0.030190782	0.007082482	0.023670505	0.011146097	0	0.002680863	0	0.323505017	0.953519044	Kan	BB01_053	BB01_053	Kan						
BB01_055	0.025665973	0	0.012554941	0.020641255	0	0.177848956	0	0.05688939	0	0	0.020463795	0	0.04413744	0.068857913	0.047781642	0.442695584	6.00E-04	0	0.081809804	0	0	0	0.028	0.201001786	1.010369108	Kan	BB01_055	BB01_055	Kan						
BB01_059	0.021530612	0	0.037449149	0.035436091	0	0.181208103	0.005150866	0.032924434	0	0	0	0.038299307	0.0144611	0.135042693	0.08925711	0.256664655	0	0.062087843	0	0.067399747	0	0.023088289	0.001	0.28649275	0.969880398	Kan	BB01_059	BB01_059	Kan						
BB01_061	0.021224774	0.01989749	0	0.139149587	0	0.246258138	0.034132871	0.029123608	0.01331171	0.026169236	0	0.038520015	0.020525115	0	0.151560063	0.167971003	0.007727669	0	0.08442872	0	0	0	0	0.470010129	0.88181055	Kan	BB01_061	BB01_061	Kan						
BB01_062	0.048142055	0.012629534	0	0.127231733	0	0.170541068	0.024526984	0.06270829	0.019368878	0	0	0.03269512	0.021866739	0	0.120078155	0.281147973	0.009621507	0	0.065436977	0	0	0.004004986	0	0.504241211	0.865909923	Kan	BB01_062	BB01_062	Kan						
BB01_067	0.013650394	0.017457371	0	0.075549189	0	0.210642582	0	0.073035401	0	0.001641784	0	0.142808473	0.015984365	0	0.140637156	0.231092044	0.013224954	0	0	0.044933213	0	0.019343074	0	0.335004153	0.951288071	Kan	BB01_067	BB01_067	Kan						
BB01_068	0.023320446	0	0	0.046637161	0	0.089546746	0	0.067729487	0	0.007822212	0	0.010796814	0	0.301747589	0.061951328	0.321741375	0	0	0.068706842	0	0	0	0	0.461685673	0.888929083	Kan	BB01_068	BB01_068	Kan						
BB01_074	0.034637727	0.038777657	0	0.139599282	0	0.217260328	0	0.086075448	0.023107159	0	0	0.011873589	0.022469503	0.021350723	0.136894329	0.213858916	0.026844388	0	0.027250951	0	0	0	0	0.454179013	0.890022952	Kan	BB01_074	BB01_074	Kan						
BB01_078	0.014890763	0	0.032798284	0.079167662	0	0.148508802	0.016448893	0.034655038	0.011085157	0.006930746	0	0.031495067	0.019457287	0.026257734	0.075124079	0.405017168	0.068227265	0	0.017570365	0	0	0.01236569	0.001	0.314579734	0.956386142	Kan	BB01_078	BB01_078	Kan						
BB01_079	0.007191798	0	0.005287757	0.102118089	0	0.211180077	0.050354251	0.09162802	0	0	0	0.046645107	0.009163234	0.072742154	0.121747753	0.244044166	0	0	0	0.016538339	0.019702488	0.001656768	0.01	0.24330953	0.991186224	Kan	BB01_079	BB01_079	Kan						
BB01_080	0.003982628	0.005914427	0	0.083043596	0	0.15845648	0	0.041814545	0.006157443	0	0	0	0.001986171	0.090645847	0.038953289	0.454042523	0.001118629	0	0.10744114	0	0	0.006443283	0	0.387361634	0.924932701	Kan	BB01_080	BB01_080	Kan						
BB01_081	0.051360112	0.03768735	0	0.138498897	0	0.34806996	0.010006819	0.036894256	0.016979079	0.028070746	0	0.023139686	0.008231637	0.001372812	0.094295648	0.141470848	0.002813428	0	0.061108722	0	0	0	0	0.482583652	0.87503391	Kan	BB01_081	BB01_081	Kan						
BB01_086	0.011171564	0.009058923	0.002069596	0.164438109	0	0.202689185	0	0.050012284	0	0.032302752	0	0.059071354	0	0.071571672	0.141361626	0.215447664	0.019894489	0	0.017545605	0	0.003365176	0	0	0.510164683	0.859827396	Kan	BB01_086	BB01_086	Kan						
BB01_088	0.03736691	0.038552832	0	0.19572165	0	0.284884512	0.002152376	0.066277419	0	0.015877737	0	0.031533743	0.023500964	0	0.107390415	0.138796062	0.010828262	0	0.044420325	0	0.002696795	0	0	0.391378812	0.923527731	Kan	BB01_088	BB01_088	Kan						
BB01_090	0.00644672	0	0.001078733	0.038850671	0	0.146223376	0	0.114854495	0	0	0	0.031274871	0.026141153	0.021821109	0.052790438	0.44759431	0	0.045450392	0.067473733	0	0	0	0.038	0.188991537	1.014236253	Kan	BB01_090	BB01_090	Kan						
BB01_094	0	0.005372291	0.001378753	0.085459949	0	0.172383128	0.022980872	0.076762777	0	0	0	0.067391943	0.046216028	0	0.117953226	0.2146316	0.004171677	0.010074096	0	0.156489899	0.008473767	0.010259993	0.001	0.289120903	0.967610968	Kan	BB01_094	BB01_094	Kan						
BB01_099	0.012378611	0	0.074989786	0.060429884	0	0.103248011	0	0.068483306	0.011703094	0	0	0.067602608	0	0.096942956	0.129778335	0.370192758	0	0	0	0.004250652	0	0	0	0.418519503	0.908657619	Kan	BB01_099	BB01_099	Kan						
BB01_103	0.013250008	0	8.00E-04	0.061071082	0	0.145717742	0.00134642	0.107738833	0	0	0	0.026168649	0	0.026632724	0.1232185	0.428665965	0	0	0.008165233	0	0	0.057215584	0	0.363103552	0.937701006	Kan	BB01_103	BB01_103	Kan						
BB01_104	0.004028653	0.047998421	0.053478792	0.113312132	0	0.161102208	0.05578105	0.065473176	0.0043035	0	0	0.044772794	0	0.039428581	0.103862233	0.284035417	0	0	0.019210132	0	0	0.003212912	0	0.359868979	0.934202973	Kan	BB01_104	BB01_104	Kan						
BB01_105	0	0	0	0.051919673	0	0.171549793	0	0.064502606	0	0	0	0.022537398	0.011873042	0	0.075078603	0.43879818	0.032145549	0	0.099675721	0.031919435	0	0	0	0.337457003	0.946770508	Kan	BB01_105	BB01_105	Kan						
BB01_108	0.022881493	0	0.050532765	0.117693412	0	0.18501054	0	0.063703975	0.006900136	0.019104976	0	0.023268069	0.006177451	0.050337373	0.063187755	0.328802803	0.010220744	0.00295609	0.049222418	0	0	0	0.001	0.307437007	0.957769591	Kan	BB01_108	BB01_108	Kan						
BB01_109	0.022118168	0	0	0.059493304	0	0.136359736	0.004073575	0.124603974	0	0	0	0.059229186	0.024169512	0.17109101	0.099739711	0.263764259	0.013846501	0	0.021511064	0	0	0	0	0.359255093	0.937774516	Kan	BB01_109	BB01_109	Kan						
BB01_110	0	0.039435923	0.026245948	0.052177358	0	0.113540407	0	0.082442025	0	0	0	0.020859991	0.070609111	0.146580191	0.062785429	0.315745849	0.013561259	0	0	0.056016507	0	0	0.099	0.130725538	1.039603213	Kan	BB01_110	BB01_110	Kan						
BB01_111	0	0.008505586	0.008374531	0	0	0.174342459	0	0.127081099	0.012606226	0	0	0.041050586	0.012375242	0	0.117769535	0.329590838	0.009777713	0	0.158526185	0	0	0	0	0.443891165	0.895343489	Kan	BB01_111	BB01_111	Kan						
BB01_112	0.005410627	0.01865658	0.018514259	0.143967984	0	0.140319891	0.020828279	0.033478856	0.028638241	0	0	0.025322003	0	0.077343641	0.084288336	0.347353164	0	0	0.055878139	0	0	0	0	0.354979511	0.937577908	Kan	BB01_112	BB01_112	Kan						
BB01_116	0.009665814	0.019546917	0.022492185	0.156559003	0	0.173436493	0.032480209	0.042455496	0.008762547	0.017733872	0	0.001738991	0.002860763	0	0.150408114	0.318976639	0.008085304	0	0.034797654	0	0	0	0	0.355371753	0.939332481	Kan	BB01_116	BB01_116	Kan						
BB01_119	0.037924315	0	0.050130061	0.066389946	0	0.258845842	0.033827689	0.078711985	0	0.021380913	0	0.016728117	0.00986838	0.048859441	0.140132983	0.217283592	0	0.019916737	0	0	0	0	0	0.389246052	0.922514134	Kan	BB01_119	BB01_119	Kan						
BB01_120	0.015617346	0	0.015495424	0.063279337	0	0.11658314	0	0.055245423	0.005352493	0.007602701	0	0.013587527	1.00E-04	0.137649933	0.068074066	0.380627154	0.047178904	0	0.061583997	0	0.007602181	0.004428918	0	0.431767687	0.901854516	Kan	BB01_120	BB01_120	Kan						
BB01_124	0.072171554	0.057736865	0	0.167005419	0	0.301588923	0.010752253	0.040749723	0.015879026	0	0	0.027514097	0.02782472	0	0.105416613	0.125069153	0.007594441	0	0.040697212	0	0	0	0	0.523167421	0.853082675	Kan	BB01_124	BB01_124	Kan						
BB01_125	0.015280974	0	6.00E-04	0.009798233	0	0.238744794	0.013845146	0.073567454	0	0	0	0.057831329	0.015219428	0.071287828	0.125324726	0.303770275	0.029212564	0	0.038635775	0	0	0.006930166	0.107	0.126075115	1.042089413	Kan	BB01_125	BB01_125	Kan						
BB01_126	0.010471985	0.007276653	0.010883136	0.065514386	0	0.137788028	0.007567037	0.0778783	0	0	0	0.016048727	0	0.070078522	0.190773508	0.399748589	0	0	0	0.002795712	0	0.003175416	0	0.451299041	0.893993452	Kan	BB01_126	BB01_126	Kan						
BB01_128	8.00E-04	0.002891282	0	0.046706276	0	0.107698075	0	0.027449826	0.018763626	0	0.009920971	0	0.005235349	0.283451195	0.010431742	0.446445885	0	0	0.038026579	0	0	0.002132889	0	0.412760712	0.924114336	Kan	BB01_128	BB01_128	Kan						
BB01_130	0	0	0.044432123	0.061111416	0	0.112329608	0	0.079584916	0.016233316	0	0	0.043797211	0.008465895	0.089972969	0.087058848	0.433139897	0	0	0.015122348	0	0	0.008751452	0	0.399090984	0.918539553	Kan	BB01_130	BB01_130	Kan						
BB01_131	0.005330471	0.034657576	0.014576813	0.10124663	0	0.204691984	0.008079931	0.0392186	0.007718108	0.028515236	0	0.037030395	0.022496304	0.008652404	0.10851574	0.24415048	0.030432297	0	0.104687031	0	0	0	0	0.453163084	0.891274783	Kan	BB01_131	BB01_131	Kan						
BR018	0.009669507	0	0.00221435	0.111941491	0	0.11767459	0.042845778	0.001171737	0	0.119902018	0	0.015547559	0	0	0.100860157	0.423069397	0.017592179	0.002199757	0.03531148	0	0	0	0	0.441570605	0.896542395	Kan	BR018	BR018	Kan						
BR029	0.016467249	0	0.004120995	0.002053374	0	0.072736117	0	0.055654855	0	0	0	0.02650928	0.126006086	0	0.010659391	0.541861267	0	0.008560438	0.096149462	0	0.039221487	0	0.174	0.09657169	1.06971225	Kan	BR029	BR029	Kan						
BR038	0.041410028	0	0.046786298	0.037029519	0	0.215037925	0.004807361	0.03526542	0	0.049179868	0	0.012169887	0.009580325	0	0.099312605	0.30912968	0.068662285	0	0.056356141	0	0.015272656	0	0.059	0.159707355	1.017260928	Kan	BR038	BR038	Kan						
BR052	0.008496811	0	6.00E-04	0.018604692	0	0.284957692	0	0.022870341	0	0.030442151	0	0	0.003314308	0	0.054442692	0.321631987	0.058116606	0	0.07451205	0.009171868	0.112843777	0	0.247	0.074343959	1.053918248	Kan	BR052	BR052	Kan						
BR064	0.007222126	0	0.001000367	0.120195442	0	0.074817285	0.041110963	0.02114401	0	0.014110839	0	0.031526795	0.008635424	0	0.143794609	0.436700664	0.061826042	0	0.021803377	0	0.016083965	0	0	0.435219768	0.900356835	Kan	BR064	BR064	Kan						
BR065	0.005327537	0.001552834	0.014994279	0	0	0.2153803	0	0.024073392	0.006163536	0	0	0	0.009440129	0	0.034095922	0.38476633	5.00E-04	0.010919822	0.260336915	0	0	0.032423333	0.028	0.196967717	1.012365622	Kan	BR065	BR065	Kan						
BR067	0.052753602	0	0.032230595	0.035892743	0	0.150941629	0.005400831	0.109112899	0	0.011253054	0	0.02476194	0.021856393	0.075567553	0.10175405	0.299196859	0.027494261	0	0	0.051218361	6.00E-04	0	0.016	0.231073787	0.991244235	Kan	BR067	BR067	Kan						
BR077	0	0	0.001947305	0	0	0.057206512	0	0.113160231	0	0	0	0.051029396	0	0.02663411	0.031623186	0.438522427	0	0.152225275	0.11218481	0	0	0.015466748	0.062	0.154790801	1.03306953	Kan	BR077	BR077	Kan						
BR078	0	0.003251436	0	0.087296769	0	0.132119821	0.008840683	0.04088261	0.001997817	0.037718209	0	0.067136747	0.06490258	0.111000279	0.142023321	0.25945933	0.041903761	0	0	0	0.001466637	0	0	0.497889741	0.866732691	Kan	BR078	BR078	Kan						
BR079	0.009347128	0	0.013253058	0.075993564	0	0.111351692	0.001829008	0.06186324	0.020354871	0.035590037	0	0.02278088	0.008042093	0	0.189002475	0.37358347	0.015601195	0	0.06140729	0	0	0	0	0.543181255	0.840735406	Kan	BR079	BR079	Kan						
BR080	0.081774462	0	0.03129531	0.041873438	0	0.125429705	0	0.060625034	0	0	0	0.02715825	0.030559647	0.092508901	0.071153635	0.341525143	0.046779485	0	0	0.046007392	0	0.003309597	0.128	0.113459288	1.042290453	Kan	BR080	BR080	Kan						
BR081	0.013672522	0.039220048	0	0.147380939	0	0.138599847	0.029664321	0.068777973	0	0.10247001	0	0.048614518	0	0.016390877	0.158554506	0.19818607	0.001020915	0.00315819	0.034289265	0	0	0	0	0.492397197	0.869674634	Kan	BR081	BR081	Kan						
BR084	0.029233449	0	0	0.073891003	0	0.167416366	0.041885384	0.013181191	0	0.120897292	0	0	0	0.010277011	0.12962288	0.314021901	0.02195156	0	0.059969862	0	0.0176521	0	0	0.440058518	0.897076317	Kan	BR084	BR084	Kan						
BR088	0	0	0.001605023	0.035641719	0	0.150369829	0	0.112666833	0	0	0	0	0	0.421924648	0.005542115	0.193887208	0	0	0	0.078362624	0	0	0.018	0.218445026	1.040323263	Kan	BR088	BR088	Kan						
BR089	0.006858738	0	0.002262277	0.102524115	0	0.067017704	0	0.087042709	0.022103754	0	0	0.012084933	0.019886464	0	0.142938562	0.40175754	0.013797049	0	0.121726156	0	0	0	0	0.443407875	0.895577206	Kan	BR089	BR089	Kan						
BR090	0.046822381	0	0.006865373	0.135642466	0	0.154480282	0	0.130685337	0.029022005	0.002385263	0	0.041892541	0.002619459	0.084171068	0.118404214	0.216408881	0	0	0.03060073	0	0	0	0	0.455933307	0.889133613	Kan	BR090	BR090	Kan						
BR091	0.001901705	0.005362066	0.01490267	0.134152806	0	0.087601239	0.002830345	0.100969875	0.020622348	0.015157904	0	0.010423256	0	0.202011084	0.074355011	0.329360442	0	0	3.00E-04	0	0	0	0	0.638972956	0.783335394	Kan	BR091	BR091	Kan						
BR097	0.016767504	0	0	0.12696977	0	0.089207477	0	0.094191913	0.021407555	0	0	0.01927767	0.021233994	0.084759928	0.132737522	0.30167672	0.030809124	0	0.060960823	0	0	0	0	0.393498702	0.920201296	Kan	BR097	BR097	Kan						
BR099	0.018028674	0	0.101826116	0.165461676	0	0	0	0.097200368	0	0	0	0.003609668	0	0.052829485	0.050696438	0.303710851	0.040952764	0	0.16568396	0	0	0	0.044	0.176861631	1.00978357	Kan	BR099	BR099	Kan						
BR100	0	0.00419334	0	0.146716732	0	0.17778174	0	0.076780522	0	0	0	0	0.044644086	0.108537698	0.023992753	0.318406562	0	0.025513827	0	0.06446225	0.001091531	0.007878958	0.148	0.105682877	1.052116679	Kan	BR100	BR100	Kan						
BR103	0.012592534	0	0	0.193218167	0	0.129263766	0	0.066239265	0.016964713	0	0	0.042722734	0.042622782	0.045476056	0.113393917	0.211911022	0.021849459	0	0.103745584	0	0	0	0.001	0.3096902	0.957944294	Kan	BR103	BR103	Kan						
BR105	0.00395955	0.009192929	0.043513896	0.111387684	0	0.079749848	0	0.131043807	0.022813388	0	0	0.050179157	0.001364307	0.052803122	0.123729014	0.367238845	0.003024452	0	0	0	0	0	0	0.488595106	0.872140472	Kan	BR105	BR105	Kan						
BR106	0.108011725	0	0	0.149519622	0	0.140572571	0.012280256	0.066128386	0.050921262	0	0	0.056683311	0.046190802	0.041051785	0.10050333	0.157433824	0.009629167	0	0.06107396	0	0	0	0	0.469248265	0.883268192	Kan	BR106	BR106	Kan						
BR107	0.015079477	0	0	0.031985252	0	0.135578496	0	0.036770441	0	0	0	0.018071094	0.044051515	0.077918774	0.035317314	0.505905879	0	0	0.099300928	0	0	0	0	0.392655755	0.923808476	Kan	BR107	BR107	Kan						
BR108	0.03563252	0	0.07922966	0.093345739	0	0.071372367	0	0.086324085	0.015068899	0	0	0.061284675	0.003109668	0.074986296	0.117192975	0.317357093	0.003458201	0	0.004098406	0.037539417	0	0	0.027	0.204573008	1.00491604	Kan	BR108	BR108	Kan						
BR112	0.005911	0.012405977	0.012487608	0.213976751	0	0.031793821	0	0.072972609	0.01891223	0.034019039	0	0.070735091	0.005933243	0.028850838	0.102361036	0.345050065	0.024136776	0	0.020453915	0	0	0	0	0.414043552	0.910399533	Kan	BR112	BR112	Kan						
